City_ID,City,Lat,Lon,Max Temp,Humidity,Clouds,Wind,Country,Date
72,rocha,-34.4833,-54.3333,14.22,96.0,0.0,1.76,UY,1703305000.0
73,hamilton,39.1834,-84.5333,9.31,57.0,100.0,3.09,US,1703304914.0
74,zaozersk,69.4005,32.4476,-18.29,100.0,80.0,1.03,RU,1703305002.0
75,bethel,41.3712,-73.414,-2.42,80.0,0.0,0.0,US,1703305003.0
76,aykhal,66.0,111.5,-20.63,98.0,94.0,4.21,RU,1703305003.0
77,constantia,44.1833,28.65,3.38,67.0,73.0,8.95,RO,1703304846.0
78,aioun,16.6614,-9.6149,16.2,21.0,98.0,4.73,MR,1703305005.0
79,taiohae,,,,,,,,
80,arraial do cabo,-22.9661,-42.0278,24.78,92.0,98.0,1.49,BR,1703305006.0
81,lata,40.1629,-8.3327,6.07,74.0,0.0,1.57,PT,1703305007.0
82,dhidhdhoo,6.8833,73.1,28.5,73.0,71.0,3.48,MV,1703305008.0
83,badger,64.8,-147.5333,-21.67,81.0,0.0,0.0,US,1703305008.0
84,ola,59.5833,151.2833,-25.48,80.0,100.0,3.9,RU,1703305009.0
85,fortuna,40.5982,-124.1573,8.51,92.0,20.0,0.0,US,1703305010.0
86,la'ie,21.6477,-157.9253,24.66,78.0,97.0,2.24,US,1703305011.0
87,chipata,-13.6333,32.65,19.89,91.0,98.0,1.42,ZM,1703305011.0
88,puerto baquerizo moreno,-0.9,-89.6,23.61,85.0,86.0,4.91,EC,1703305012.0
89,juneau,58.3019,-134.4197,2.0,95.0,100.0,5.14,US,1703305013.0
90,selfoss,63.9331,-20.9971,-8.09,60.0,85.0,4.44,IS,1703305013.0
91,vorgashor,67.5833,63.95,-16.03,99.0,92.0,1.5,RU,1703305014.0
92,fuente obejuna,38.2667,-5.4167,7.06,69.0,0.0,1.5,ES,1703305015.0
93,niamey,13.5137,2.1098,21.16,24.0,0.0,4.12,NE,1703305015.0
94,chibougamau,49.9168,-74.3659,-9.21,79.0,100.0,3.6,CA,1703305016.0
95,ta`u,-14.2336,-169.5144,27.12,79.0,100.0,10.25,AS,1703305017.0
96,egilsstadir,65.2653,-14.3948,-6.05,79.0,75.0,2.57,IS,1703305017.0
97,bukene,-4.2333,32.8833,18.47,94.0,51.0,0.74,TZ,1703305018.0
98,la ronge,55.1001,-105.2842,-2.86,86.0,0.0,1.03,CA,1703305018.0
99,kuanda,56.3161,116.0806,-22.13,94.0,99.0,0.39,RU,1703305019.0
100,kulia village,,,,,,,,
101,thompson,55.7435,-97.8558,-3.91,100.0,100.0,3.09,CA,1703304899.0
102,ibicarai,-14.865,-39.5875,21.39,99.0,64.0,0.95,BR,1703305021.0
103,sao felix do xingu,-6.6447,-51.995,23.15,99.0,100.0,0.66,BR,1703305022.0
104,kenema,7.8767,-11.1875,19.05,57.0,34.0,1.02,SL,1703305023.0
105,ilulissat,69.2167,-51.1,-15.99,51.0,71.0,7.2,GL,1703305024.0
106,kelamangalam,12.6,77.85,21.02,71.0,99.0,2.45,IN,1703305024.0
107,conception bay south,47.4999,-52.9981,-0.05,94.0,100.0,13.3,CA,1703305025.0
108,sao vicente,-23.9631,-46.3919,27.1,26.0,50.0,0.68,BR,1703305026.0
109,kamina,-8.7386,24.9906,18.53,97.0,100.0,1.03,CD,1703305027.0
110,nabire,-3.3667,135.4833,27.21,88.0,98.0,2.39,ID,1703305027.0
111,rockport,28.0206,-97.0544,20.56,89.0,75.0,3.6,US,1703305028.0
112,acarau,-2.8856,-40.12,26.9,79.0,83.0,6.9,BR,1703304777.0
113,puerto san carlos,,,,,,,,
114,masterton,-40.9597,175.6575,22.28,63.0,99.0,2.46,NZ,1703305030.0
115,tranovaho,,,,,,,,
116,vingt cinq,,,,,,,,
117,isafjordur,66.0755,-23.124,-4.79,84.0,100.0,9.76,IS,1703305032.0
118,saipan,15.1355,145.701,29.39,65.0,40.0,10.29,MP,1703305033.0
119,parakou,9.3372,2.6303,22.66,28.0,2.0,2.78,BJ,1703305034.0
120,poronaysk,49.2167,143.1167,-11.74,86.0,100.0,8.0,RU,1703305035.0
121,toktogul,41.8708,72.9402,1.19,51.0,95.0,0.62,KG,1703304924.0
122,spring lake,35.1679,-78.9728,7.3,82.0,75.0,0.0,US,1703305036.0
123,pisco,-13.7,-76.2167,20.03,88.0,40.0,1.54,PE,1703305037.0
124,aoulef,26.9667,1.0833,11.33,36.0,4.0,4.52,DZ,1703304976.0
125,island harbour,50.724,-1.2758,10.55,85.0,99.0,4.02,GB,1703305039.0
126,kingscliff,-28.2667,153.5667,27.19,54.0,24.0,5.14,AU,1703305040.0
127,la gi,10.6667,107.7833,30.22,58.0,77.0,9.43,VN,1703305040.0
128,smyshlyayevka,53.2391,50.3907,1.15,93.0,100.0,3.91,RU,1703304960.0
129,parauapebas,-6.0675,-49.9022,23.09,97.0,78.0,0.64,BR,1703304916.0
130,wenxing,28.6667,112.8833,5.14,32.0,49.0,1.83,CN,1703305043.0
131,thanh hoa,19.8,105.7667,16.5,30.0,72.0,5.33,VN,1703305044.0
132,thayetmyo,19.3167,95.1833,27.44,53.0,2.0,2.6,MM,1703305045.0
133,sanctuary point,-35.1114,150.629,21.78,62.0,22.0,4.16,AU,1703305046.0
134,juegang,32.3174,121.1855,1.21,39.0,100.0,2.17,CN,1703305046.0
135,el bauga,18.262,33.9081,15.91,29.0,0.0,6.1,SD,1703305047.0
136,boromo,11.75,-2.9333,20.37,20.0,5.0,2.68,BF,1703305048.0
137,zyrya,40.3661,50.2917,10.05,64.0,21.0,10.95,AZ,1703305049.0
138,vanimo,-2.6741,141.3028,28.46,78.0,84.0,3.17,PG,1703305050.0
139,balkanabat,39.5108,54.3671,12.3,37.0,59.0,3.56,TM,1703305050.0
140,puerto ayora,-0.7393,-90.3518,24.75,93.0,87.0,1.79,EC,1703305051.0
141,west island,-12.1568,96.8225,27.99,78.0,100.0,5.66,CC,1703305052.0
142,port alfred,-33.5906,26.891,22.88,88.0,2.0,3.13,ZA,1703305053.0
143,taft,31.7471,54.2088,7.97,23.0,0.0,4.12,IR,1703305054.0
144,frontera,26.9333,-101.45,17.72,84.0,100.0,0.89,MX,1703305055.0
145,douentza,14.9951,-2.9517,17.66,19.0,0.0,1.85,ML,1703305056.0
146,iqaluit,63.7506,-68.5145,-8.15,67.0,100.0,3.09,CA,1703305056.0
147,carutapera,-1.195,-46.02,26.61,85.0,92.0,3.38,BR,1703305057.0
148,punta arenas,-53.15,-70.9167,6.06,70.0,20.0,9.77,CL,1703305058.0
149,rio grande,-32.035,-52.0986,20.53,86.0,100.0,1.4,BR,1703305059.0
150,kunyang,27.6658,120.5658,6.96,42.0,68.0,2.37,CN,1703305059.0
151,plouzane,48.3833,-4.6167,10.18,93.0,75.0,5.14,FR,1703305060.0
152,chulym,55.0997,80.9572,-3.58,98.0,100.0,3.57,RU,1703305061.0
153,guajara mirim,-10.7828,-65.3394,24.18,97.0,100.0,1.37,BR,1703305061.0
154,bontang,0.1333,117.5,27.38,79.0,91.0,0.4,ID,1703305062.0
155,sisimiut,66.9395,-53.6735,-17.38,82.0,17.0,6.61,GL,1703305063.0
156,fort bragg,35.139,-79.006,7.33,82.0,75.0,0.0,US,1703305064.0
157,puerto natales,-51.7236,-72.4875,7.41,71.0,75.0,7.43,CL,1703305065.0
158,avarua,-21.2078,-159.775,24.03,73.0,40.0,3.6,CK,1703305065.0
159,praia da vitoria,38.7333,-27.0667,13.75,94.0,40.0,2.35,PT,1703305066.0
160,illizi,26.4833,8.4667,8.43,42.0,0.0,1.9,DZ,1703305067.0
161,mahina,-17.5065,-149.489,26.87,78.0,75.0,2.06,PF,1703305068.0
162,hermanus,-34.4187,19.2345,19.33,88.0,96.0,2.43,ZA,1703305068.0
163,machesney park,42.3472,-89.039,6.34,97.0,100.0,2.03,US,1703305014.0
164,san antonio de pale,-1.4014,5.6325,27.21,83.0,100.0,3.26,GQ,1703305070.0
165,chonchi,-42.6128,-73.8092,10.56,98.0,10.0,1.45,CL,1703305070.0
166,pacific grove,36.6177,-121.9166,13.7,87.0,75.0,4.12,US,1703305022.0
167,paita,-5.0892,-81.1144,21.14,84.0,81.0,5.21,PE,1703305072.0
168,shingu,33.7333,135.9833,8.46,42.0,20.0,4.26,JP,1703305072.0
169,naryn,41.4287,75.9911,-5.59,62.0,100.0,3.77,KG,1703305073.0
170,kavaratti,10.5669,72.642,28.37,73.0,71.0,2.44,IN,1703305074.0
171,balabac,7.9868,117.0645,28.66,75.0,100.0,7.14,PH,1703305074.0
172,ribeira grande,38.5167,-28.7,17.1,74.0,18.0,2.68,PT,1703305075.0
173,dunedin,-45.8742,170.5036,15.08,83.0,100.0,4.66,NZ,1703304919.0
174,port elizabeth,-33.918,25.5701,23.94,82.0,75.0,9.26,ZA,1703305076.0
175,mount gambier,-37.8333,140.7667,21.63,43.0,2.0,5.65,AU,1703305077.0
176,ad dilam,23.9915,47.1627,18.23,44.0,99.0,5.85,SA,1703305078.0
177,jamestown,42.097,-79.2353,5.77,77.0,100.0,2.57,US,1703305079.0
178,keflavik,64.0049,-22.5624,-4.05,68.0,75.0,3.6,IS,1703305079.0
179,puerto armuelles,8.2833,-82.8667,27.87,72.0,71.0,0.45,PA,1703305080.0
180,port mathurin,-19.6833,63.4167,26.57,80.0,52.0,5.12,MU,1703305081.0
181,papao,-17.75,-149.55,26.82,89.0,99.0,4.75,PF,1703305082.0
182,bandarbeyla,9.4942,50.8122,25.36,74.0,15.0,3.95,SO,1703305082.0
183,kodinsk,58.6881,99.1844,-5.87,98.0,97.0,1.46,RU,1703305083.0
184,buta,2.7858,24.73,22.67,90.0,100.0,0.36,CD,1703305084.0
185,palikir - national government center,6.9248,158.1611,30.47,70.0,100.0,5.14,FM,1703305085.0
186,quibala,-10.7337,14.98,16.75,98.0,100.0,0.75,AO,1703305085.0
187,tazovsky,67.4667,78.7,-14.14,95.0,100.0,1.73,RU,1703305086.0
188,peace river,56.2501,-117.286,4.17,52.0,100.0,9.26,CA,1703305087.0
189,vernon,50.2581,-119.2691,5.89,75.0,99.0,1.54,CA,1703305088.0
190,ushuaia,-54.8,-68.3,4.81,81.0,75.0,13.38,AR,1703304960.0
191,tolanaro,-25.0319,46.9987,25.42,75.0,36.0,2.9,MG,1703305090.0
192,colby,39.3958,-101.0524,6.57,69.0,0.0,3.6,US,1703305092.0
193,yanchep,-31.55,115.6833,34.45,42.0,0.0,7.07,AU,1703305093.0
194,lompoc,34.6391,-120.4579,13.62,91.0,75.0,7.6,US,1703305094.0
195,yinchuan,38.4681,106.2731,-7.2,56.0,5.0,1.44,CN,1703304964.0
196,udachny,66.4167,112.4,-21.47,96.0,96.0,2.57,RU,1703305095.0
197,puerto aysen,-45.4,-72.7,8.17,98.0,41.0,2.07,CL,1703305096.0
198,changli,39.7042,119.1506,-6.79,53.0,83.0,1.43,CN,1703305096.0
199,akureyri,65.6835,-18.0878,-6.04,79.0,100.0,1.54,IS,1703305097.0
200,sept-iles,50.2001,-66.3821,-10.0,58.0,40.0,3.09,CA,1703305098.0
201,hawaiian paradise park,19.5933,-154.9731,21.73,97.0,100.0,2.06,US,1703305099.0
202,dampit,-8.2116,112.7493,30.4,49.0,97.0,2.61,ID,1703305099.0
203,alofi,-19.0595,-169.9187,24.94,78.0,70.0,7.72,NU,1703305100.0
204,boiling springs,35.0465,-81.9818,6.16,71.0,0.0,0.0,US,1703305101.0
205,pangani,-5.4333,38.9667,24.9,86.0,53.0,2.23,TZ,1703305102.0
206,balqash,46.8481,74.995,-5.67,79.0,0.0,5.0,KZ,1703305103.0
207,taltal,-25.4,-70.4833,18.31,80.0,0.0,0.97,CL,1703305103.0
208,uribia,11.7139,-72.266,26.45,79.0,21.0,6.19,CO,1703305104.0
209,olonkinbyen,70.9221,-8.7187,-2.01,64.0,100.0,11.92,SJ,1703305105.0
210,utrik,11.2278,169.8474,26.96,82.0,43.0,10.56,MH,1703305106.0
211,bodo,67.28,14.405,-3.98,66.0,0.0,11.32,NO,1703305106.0
212,ponta delgada,37.7333,-25.6667,13.4,82.0,20.0,2.57,PT,1703305107.0
213,kwakoa,-3.7667,37.7167,22.05,88.0,83.0,0.93,TZ,1703305108.0
214,nikolayevsk-on-amure,53.1406,140.73,-21.81,76.0,18.0,2.45,RU,1703305109.0
215,klyuchi,52.2667,79.1667,-8.05,85.0,100.0,2.97,RU,1703305110.0
216,zhezqazghan,47.7833,67.7667,-13.68,85.0,20.0,3.0,KZ,1703305110.0
217,tanrake village,,,,,,,,
218,puerto colombia,10.9878,-74.9547,27.05,82.0,14.0,10.36,CO,1703305112.0
219,jiwani,25.05,61.7417,22.1,58.0,3.0,2.0,PK,1703305113.0
220,remire-montjoly,4.9167,-52.2667,25.02,100.0,75.0,1.54,GF,1703305114.0
221,kodiak,57.79,-152.4072,2.73,93.0,100.0,16.46,US,1703305108.0
222,nyurba,63.2842,118.3319,-17.12,96.0,99.0,3.02,RU,1703305115.0
223,sokoni,-6.4333,39.55,27.42,81.0,24.0,2.97,TZ,1703305116.0
224,wenchang,30.904,118.4887,2.05,34.0,100.0,1.18,CN,1703305117.0
225,shimoda,34.6667,138.95,10.2,51.0,3.0,8.09,JP,1703305117.0
226,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,85.0,0.0,4.92,RU,1703305118.0
227,palo santo,-25.5633,-59.3378,24.76,88.0,7.0,1.74,AR,1703305119.0
228,dudinka,69.4058,86.1778,-14.62,97.0,100.0,2.68,RU,1703305120.0
229,berezovyy,51.6667,135.7,-20.52,68.0,2.0,1.4,RU,1703305121.0
230,lautoka,-17.6167,177.4667,29.92,62.0,20.0,7.72,FJ,1703305122.0
231,afaahiti,-17.75,-149.2833,25.93,87.0,100.0,3.01,PF,1703305122.0
232,luau,-10.7073,22.2247,18.73,97.0,100.0,0.82,AO,1703305123.0
233,safford,32.834,-109.7076,8.95,97.0,100.0,4.63,US,1703305124.0
234,enewetak,11.3474,162.3373,27.45,80.0,39.0,9.48,MH,1703305125.0
235,labrador city,52.9463,-66.9114,-16.05,72.0,100.0,3.09,CA,1703305125.0
236,buckie,57.6757,-2.9624,1.14,99.0,100.0,1.74,GB,1703305126.0
237,polyarnyy,69.1989,33.4478,-14.93,100.0,98.0,2.58,RU,1703305127.0
238,hun,29.1268,15.9477,9.33,66.0,0.0,3.78,LY,1703305127.0
239,cafayate,-26.073,-65.9761,20.69,77.0,43.0,1.66,AR,1703305128.0
240,saldanha,-33.0117,17.9442,17.61,89.0,8.0,5.74,ZA,1703305129.0
241,georgetown,5.4112,100.3354,31.08,66.0,40.0,5.14,MY,1703305127.0
242,millington,35.3415,-89.8973,14.07,75.0,75.0,2.57,US,1703305086.0
243,vilyuchinsk,52.9306,158.4028,-11.85,86.0,60.0,2.17,RU,1703305131.0
244,yenotayevka,47.2456,47.0281,1.19,91.0,74.0,1.19,RU,1703305131.0
245,bahia de caraquez,-0.6,-80.4167,25.1,85.0,90.0,3.04,EC,1703304976.0
246,ust-nera,64.5667,143.2,-39.44,98.0,93.0,1.91,RU,1703305133.0
247,konarka,19.9,86.1167,22.22,52.0,61.0,3.1,IN,1703305133.0
248,mariehamn,60.0973,19.9348,0.92,93.0,100.0,2.06,AX,1703305134.0
249,vila franca do campo,37.7167,-25.4333,13.23,82.0,0.0,2.66,PT,1703305135.0
250,pahrump,36.2083,-115.9839,9.62,92.0,96.0,0.45,US,1703305008.0
251,betio village,1.358,172.9211,29.02,79.0,53.0,5.57,KI,1703305136.0
252,chhuikhadan,21.5333,80.9833,21.48,31.0,74.0,2.17,IN,1703305136.0
253,miles city,46.4083,-105.8406,3.54,70.0,0.0,3.6,US,1703305137.0
254,mezhdurechenskiy,59.6,65.9333,-0.87,92.0,100.0,3.1,RU,1703305138.0
255,akobo,7.4344,3.9497,23.75,78.0,15.0,1.54,NG,1703305138.0
256,tomatlan,19.9333,-105.25,22.28,95.0,86.0,0.69,MX,1703305139.0
257,magadan,59.5667,150.8,-25.82,78.0,98.0,3.75,RU,1703305140.0
258,gwoza,11.1036,13.713,17.99,49.0,100.0,1.83,NG,1703305140.0
259,kilindoni,-7.9139,39.6668,27.57,80.0,75.0,2.67,TZ,1703305141.0
260,sandnessjoen,66.0217,12.6316,-9.71,73.0,100.0,7.9,NO,1703305142.0
261,sinjai,-5.1241,120.253,31.87,55.0,100.0,3.16,ID,1703305142.0
262,hilo,19.7297,-155.09,21.85,98.0,100.0,2.06,US,1703305027.0
263,chicxulub puerto,,,,,,,,
264,camana,-16.6228,-72.7111,21.33,86.0,100.0,3.29,PE,1703305145.0
265,paramonga,-10.6667,-77.8333,21.11,84.0,85.0,3.22,PE,1703305146.0
266,berdigestyakh,62.0989,126.6992,-33.43,100.0,100.0,0.8,RU,1703305146.0
267,mora,11.0461,14.1401,18.55,46.0,100.0,2.4,CM,1703304963.0
268,nagqu,31.5,92.0,-14.99,48.0,2.0,1.85,CN,1703305148.0
269,lucapa,-8.4192,20.7447,18.78,99.0,100.0,1.13,AO,1703305149.0
270,yeppoon,-23.1333,150.7333,31.88,72.0,59.0,4.64,AU,1703305149.0
271,mariakani,-3.8633,39.4736,24.05,89.0,88.0,1.14,KE,1703305150.0
272,tarma,-11.4197,-75.6908,12.49,88.0,94.0,0.68,PE,1703305151.0
273,moree,-29.4667,149.85,30.38,37.0,35.0,3.74,AU,1703305151.0
274,aasiaat,68.7098,-52.8699,-25.31,96.0,94.0,4.77,GL,1703305152.0
275,tual,-5.6667,132.75,28.77,78.0,100.0,6.51,ID,1703305153.0
276,barra de santo antonio,-9.4047,-35.5072,23.6,75.0,100.0,4.32,BR,1703305154.0
277,broken hill,-31.95,141.4333,31.78,14.0,75.0,5.72,AU,1703305154.0
278,san rafael del sur,11.8485,-86.4384,25.54,67.0,32.0,4.96,NI,1703305155.0
279,costa calma,,,,,,,,
280,villa gesell,-37.2639,-56.973,17.25,87.0,49.0,5.53,AR,1703305157.0
281,bridgewater,44.3835,-64.5155,-6.18,86.0,0.0,2.06,CA,1703305158.0
282,cidreira,-30.1811,-50.2056,22.66,95.0,100.0,0.97,BR,1703305159.0
283,attapeu,14.8,106.8333,27.15,47.0,98.0,4.46,LA,1703305159.0
284,talara,-4.5772,-81.2719,20.75,88.0,81.0,5.75,PE,1703305160.0
285,kalmunai,7.4167,81.8167,27.42,77.0,83.0,4.2,LK,1703305161.0
286,vilyuysk,63.7553,121.6247,-20.0,99.0,98.0,1.34,RU,1703305162.0
287,pingliang,35.5392,106.6861,-0.44,44.0,100.0,4.12,CN,1703305014.0
288,prince george,53.9166,-122.753,0.14,71.0,0.0,5.66,CA,1703305164.0
289,forster,-32.1667,152.5167,24.1,69.0,62.0,5.0,AU,1703305165.0
